province,province_code,country_code,region_code,iso_code
An Giang,AGI,VN,VSCL,VN-44
Bà Rịa - Vũng Tàu,VTB,VN,VĐNB,VN-43
Bạc Liêu,BLI,VN,VSCL,VN-55
Bắc Kạn,BKA,VN,VNBB,VN-53
Bắc Giang,BGI,VN,VĐBB,VN-54
Bắc Ninh,BNI,VN,VĐBB,VN-56
Bến Tre,BTR,VN,VSCL,VN-50
Bình Dương,BDU,VN,VĐNB,VN-57
Bình Định,BDI,VN,VNTB,VN-31
Bình Phước,BPC,VN,VĐNB,VN-58
Bình Thuận,BTN,VN,VNTB,VN-40
Cà Mau,CMU,VN,VSCL,VN-59
Cao Bằng,CBA,VN,VNBB,VN-04
Cần Thơ,CTH,VN,VSCL,VN-CT
Đà Nẵng,DNG,VN,VNTB,VN-DN
Đắk Lắk,DLA,VN,VTNG,VN-33
Đắk Nông,DKN,VN,VTNG,VN-72
Điện Biên,DBI,VN,VNBB,VN-71
Đồng Nai,DNA,VN,VĐNB,VN-39
Đồng Tháp,DTP,VN,VSCL,VN-45
Gia Lai,GLA,VN,VTNG,VN-30
Hà Giang,HGI,VN,VNBB,VN-03
Hà Nam,HNA,VN,VĐBB,VN-63
Hà Nội,HNO,VN,HNO,VN-HN
Hà Tĩnh,HTI,VN,VBTB,VN-23
Hải Dương,HDU,VN,VĐBB,VN-61
Hải Phòng,HPG,VN,VĐBB,VN-HP
Hậu Giang,HAG,VN,VSCL,VN-73
Hòa Bình,HBI,VN,VĐBB,VN-14
Hồ Chí Minh,HCM,VN,HCM,VN-SG
Hưng Yên,HYE,VN,VĐBB,VN-66
Khánh Hoà,KHA,VN,VNTB,VN-34
Kiên Giang,KGI,VN,VSCL,VN-47
Kon Tum,KTU,VN,VTNG,VN-28
Lai Châu,LCA,VN,VNBB,VN-01
Lạng Sơn,LSN,VN,VNBB,VN-09
Lào Cai,LCI,VN,VNBB,VN-02
Lâm Đồng,LDG,VN,VTNG,VN-35
Long An,LAN,VN,VSCL,VN-41
Nam Định,NDH,VN,VĐBB,VN-67
Nghệ An,NAN,VN,VBTB,VN-22
Ninh Bình,NBI,VN,VĐBB,VN-18
Ninh Thuận,NTH,VN,VNTB,VN-36
Phú Thọ,PTH,VN,VĐBB,VN-68
Phú Yên,PYE,VN,VNTB,VN-32
Quảng Bình,QBI,VN,VBTB,VN-24
Quảng Nam,QNA,VN,VNTB,VN-27
Quảng Ngãi,QNG,VN,VNTB,VN-29
Quảng Ninh,QNH,VN,VĐBB,VN-13
Quảng Trị,QTR,VN,VBTB,VN-25
Sóc Trăng,STG,VN,VSCL,VN-52
Sơn La,SLA,VN,VNBB,VN-05
Tây Ninh,TNI,VN,VĐNB,VN-37
Thái Bình,TBH,VN,VĐBB,VN-20
Thái Nguyên,TNG,VN,VĐBB,VN-69
Thanh Hóa,THA,VN,VBTB,VN-21
Thừa Thiên - Huế,TTH,VN,VBTB,VN-26
Tiền Giang,TGG,VN,VSCL,VN-46
Trà Vinh,TVH,VN,VSCL,VN-51
Tuyên Quang,TQU,VN,VNBB,VN-07
Vĩnh Long,VLG,VN,VSCL,VN-49
Vĩnh Phúc,VPH,VN,VĐBB,VN-70
Yên Bái,YBA,VN,VNBB,VN-06